Stock Number,Days,Year,Model,VIN,Trim,Model Code,Cylinders,Trans,Color,Color Code,MSRP,Invoice,E-Price,Model Code_Key,SKU,KBB AVAIL,KBB_HIGH,KBB_FAIR,KBB_LOW,Strategy,+/-,Color DS,BASE E-Price,Age Discount,DEMO Discount,Accessories,Accessories Cost,E-Price2,DC_CASH,DC_LEASE,DC_FINANCE,,
HM210005,181,2021,INSIGHT,19XZE4F18ME001300,4D LX,ZE4F1MEW,4,AUTO,WX,BK,24280,22624.28,"$21,638",ZE4F1MEW+,ZE4F1MEW+WX/BK,YES,23420,22521.5,21623.0,L_LESS_250,-1,NO SALES,21373,250,0,"Mats, Door Visors",515,"$21,638",500.0,0.0,500.0,,
HM201390,177,2020,CIVIC,2HGFC1F90LH682716,4D TRG-T,FC1F9LKNW,4,AUTO,RE,BK,28655,26674.66,"$26,015",FC1F9LKNW,FC1F9LKNWRE/BK,YES,27844,26791.5,25739.0,FL,0,NO SALES,26265.25,250,0,-,0,"$26,015",0.0,500.0,0.0,,
HM201341,169,2020,FIT,3HGGK5H81LM717798,EX,GK5H8LJW,4,AUTO,RE,BK,20015,19500.28,"$17,249",GK5H8LJW,GK5H8LJWRE/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,300.00,17499,250,0,-,0,"$17,249",500.0,0.0,0.0,,
HM201354,166,2020,FIT,3HGGK5H4XLM717103,LX,GK5H4LEW,4,AUTO,BK,BK,17945,17494.33,"$15,275",GK5H4LEW,GK5H4LEWBK/BK,YES,17550,17037.5,16525.0,L_Less_1000,-7,240.00,15525,250,0,-,0,"$15,275",500.0,0.0,0.0,,
HM201355,166,2020,FIT,3HGGK5H83LM718712,EX,GK5H8LJW,4,AUTO,RE,BK,20015,19500.28,"$17,249",GK5H8LJW,GK5H8LJWRE/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,300.00,17499,250,0,-,0,"$17,249",500.0,0.0,0.0,,
HM210009,163,2021,PILOT,5FNYF6H63MB003883,AWD TRG 7P,YF6H6MKNW,6,AUTO,BS,GR,46340,42440.21,"$40,946",YF6H6MKNW,YF6H6MKNWBS/GR,YES,44268,42386.5,40505.0,FL,1,NO SALES,41445.75,250,250,-,0,"$40,946",1250.0,0.0,0.0,,
HM210013,162,2021,PILOT,5FNYF6H93MB004834,AWD TRG,YF6H9MKNW,6,AUTO,GX,GR,46040,42166.58,"$39,992",YF6H9MKNW,YF6H9MKNWGX/GR,YES,43981,42111.5,40242.0,L,-1,NO SALES,40242.0,250,0,-,0,"$39,992",1250.0,0.0,0.0,,
HM201407,154,2020,FIT,3HGGK5H85LM715679,EX,GK5H8LJW,4,AUTO,RE,BK,20015,19500.28,"$17,249",GK5H8LJW,GK5H8LJWRE/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,300.00,17499,250,0,-,0,"$17,249",500.0,0.0,0.0,,
HM201588,146,2020,CIVIC,2HGFC2F64LH570741,4D LX,FC2F6LEW,4,AUTO,GY,BK,21755,20286.64,"$18,163",FC2F6LEW,FC2F6LEWGY/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,180.00,18413,250,0,-,0,"$18,163",500.0,500.0,0.0,,
HM201589,146,2020,CIVIC,2HGFC4B62LH305317,2D LX,FC4B6LEW,4,AUTO,BK,BK,22005,20518.09,"$20,040",FC4B6LEW,FC4B6LEWBK/BK,YES,21504,20694.5,19885.0,FL,0,NO SALES,20289.75,250,0,-,0,"$20,040",500.0,500.0,0.0,,
